player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Drew Sample,TE,0.0,29.82,True,True,not a confirmed keeper or college-rights hold
Adam Trautman,TE,0.0,28.15,True,True,not a confirmed keeper or college-rights hold
Kene Nwangwu,RB,0.0,9.8,True,True,not a confirmed keeper or college-rights hold
Reggie Virgil,WR,0.0,6.22,True,True,not a confirmed keeper or college-rights hold
Sam Roush,TE,0.0,14.24,True,True,not a confirmed keeper or college-rights hold
Gardner Minshew II,QB,0.0,9.19,True,True,not a confirmed keeper or college-rights hold
Joe Milton III,QB,0.0,5.64,True,True,not a confirmed keeper or college-rights hold
Patrick Ricard,RB,0.0,5.23,True,True,not a confirmed keeper or college-rights hold
Jonnu Smith,TE,0.0,44.13,True,True,not a confirmed keeper or college-rights hold
KeAndre Lambert-Smith,WR,0.0,14.66,True,True,not a confirmed keeper or college-rights hold
Lil'Jordan Humphrey,WR,0.0,14.96,True,True,not a confirmed keeper or college-rights hold
Zach Ertz,TE,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Tet McMillan,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Michael Carter,RB,0.0,6.54,True,True,not a confirmed keeper or college-rights hold
JJ McCarthy,QB,0.0,23.46,True,True,not a confirmed keeper or college-rights hold
Van Jefferson,WR,0.0,6.01,True,True,not a confirmed keeper or college-rights hold
Travis Hunter,WR,0.0,73.58,True,True,not a confirmed keeper or college-rights hold
Theo Johnson,TE,0.0,56.7,True,True,not a confirmed keeper or college-rights hold
Darius Slayton,WR,0.0,55.66,True,True,not a confirmed keeper or college-rights hold
Colby Parkinson,TE,0.0,62.2,True,True,not a confirmed keeper or college-rights hold
Jacoby Brissett,QB,0.0,179.82,True,True,not a confirmed keeper or college-rights hold
Devaughn Vele,WR,0.0,81.38,True,True,not a confirmed keeper or college-rights hold
Marquez Valdes-Scantling,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Jacob Saylors,RB,0.0,34.87,True,True,not a confirmed keeper or college-rights hold
AJ Barner,TE,0.0,99.04,True,True,not a confirmed keeper or college-rights hold
Kayshon Boutte,WR,0.0,86.3,True,True,not a confirmed keeper or college-rights hold
Evan Hull,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Will Shipley,RB,0.0,21.94,True,True,not a confirmed keeper or college-rights hold
Tank Dell,WR,0.0,58.82,True,True,not a confirmed keeper or college-rights hold
Darnell Mooney,WR,0.0,63.83,True,True,not a confirmed keeper or college-rights hold
Isaac TeSlaa,WR,0.0,66.3,True,True,not a confirmed keeper or college-rights hold
Pat Freiermuth,TE,0.0,96.9,True,True,not a confirmed keeper or college-rights hold
Isaac Guerendo,RB,0.0,11.3,True,True,not a confirmed keeper or college-rights hold
Jerome Ford,RB,0.0,0.0,True,True,not a confirmed keeper or college-rights hold
Jaleel McLaughlin,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
DeMario Douglas,WR,0.0,61.67,True,True,not a confirmed keeper or college-rights hold
Audric Estime,RB,0.0,12.38,True,True,not a confirmed keeper or college-rights hold
Tahj Brooks,RB,0.0,23.18,True,True,not a confirmed keeper or college-rights hold
Darnell Washington,TE,0.0,60.1,True,True,not a confirmed keeper or college-rights hold
Jahan Dotson,WR,0.0,66.13,True,True,not a confirmed keeper or college-rights hold
Gunnar Helm,TE,0.0,85.2,True,True,not a confirmed keeper or college-rights hold
Skyler Bell,WR,0.0,38.52,True,True,not a confirmed keeper or college-rights hold
Brandon Aiyuk,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Jake Tonges,TE,0.0,46.75,True,True,not a confirmed keeper or college-rights hold
Jarquez Hunter,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Andrei Iosivas,WR,0.0,65.06,True,True,not a confirmed keeper or college-rights hold
Michael Woods II,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Hollywood Brown,WR,0.0,41.95,True,True,not a confirmed keeper or college-rights hold
Mike Gesicki,TE,0.0,71.5,True,True,not a confirmed keeper or college-rights hold
Michael Penix Jr.,QB,0.0,122.75,True,True,not a confirmed keeper or college-rights hold
Marvin Mims Jr.,WR,0.0,47.9,True,True,not a confirmed keeper or college-rights hold
Kirk Cousins,QB,0.0,50.52,True,True,not a confirmed keeper or college-rights hold
Deshaun Watson,QB,0.0,101.26,True,True,not a confirmed keeper or college-rights hold
Eli Stowers,TE,0.0,48.79,True,True,not a confirmed keeper or college-rights hold
Mack Hollins,WR,0.0,34.99,True,True,not a confirmed keeper or college-rights hold
Aaron Rodgers,QB,0.0,191.83,True,True,not a confirmed keeper or college-rights hold
Geno Smith,QB,0.0,177.54,True,True,not a confirmed keeper or college-rights hold
