player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,hypothetical_open_market_value,historical_salary_if_known,notes
Moliki Matavao,TE,NO,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #489, tier 16; anchor imputed via position_median_fallback"
Ben Sinnott,TE,WAS,28.2,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #419, tier 15"
Cade Klubnik,QB,NYJ,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #417, tier 15; anchor imputed via position_median_fallback"
Sione Vaki,RB,DET,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #416, tier 14; anchor imputed via tier_median_fallback"
Rasheen Ali,RB,BAL,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #415, tier 14; anchor imputed via tier_median_fallback"
Tim Patrick,WR,NYJ,14.07,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #481, tier 15"
Tyler Badie,RB,DEN,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #460, tier 15; anchor imputed via tier_median_fallback"
Mitch Tinsley,WR,CIN,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #459, tier 15; anchor imputed via tier_median_fallback"
Roman Hemby,RB,LV,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #458, tier 15; anchor imputed via tier_median_fallback"
Jahdae Walker,WR,CHI,29.43,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #457, tier 15"
Dylan Laube,RB,LV,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #455, tier 15; anchor imputed via tier_median_fallback"
Josh Williams,RB,TB,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #454, tier 15; anchor imputed via tier_median_fallback"
Ronnie Rivers,RB,LAR,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #453, tier 15; anchor imputed via tier_median_fallback"
Max Bredeson,RB,MIN,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #469, tier 15; anchor imputed via tier_median_fallback"
Antonio Gibson,RB,FA,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #474, tier 15; anchor imputed via tier_median_fallback"
DeAndre Hopkins,WR,BAL,2.0,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #467, tier 15"
Khalil Herbert,RB,SF,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #466, tier 15; anchor imputed via tier_median_fallback"
Riley Leonard,QB,IND,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #465, tier 15; anchor imputed via position_median_fallback"
Damien Martinez,RB,GB,,,0.0,1.0,34.0,"not on a 2025 league roster -- FantasyPros 2026 rank #464, tier 15; anchor imputed via tier_median_fallback"
Will Kacmarek,TE,MIA,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #463, tier 15; anchor imputed via tier_median_fallback"
Elijah Moore,WR,PHI,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #462, tier 15; anchor imputed via tier_median_fallback"
Quinn Ewers,QB,MIA,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #477, tier 15; anchor imputed via position_median_fallback"
