seed,team,player,position,price,projected_points,is_starting_qb,is_starting_rb,is_starting_wr,is_starting_te,is_starting_flex,is_starter
1,Jason,Mike Evans,WR,19.146966666666668,164.95,False,False,False,False,False,False
1,Jason,Josh Allen,QB,17.391849999999998,328.82,True,False,False,False,False,True
1,Jason,Josh Downs,WR,12.90018888888889,145.07,False,False,False,False,False,False
1,Jason,Travis Kelce,TE,11.071822222222224,129.94,False,False,False,False,False,False
1,Jason,Travis Etienne,RB,8.792404444444445,190.4,False,False,False,False,True,True
1,Jason,Austin Ekeler,RB,7.0,411.43888888888887,False,True,False,False,False,True
1,Reid,Kyle Pitts Sr,TE,11.0,140.7,False,False,False,False,True,True
1,Reid,Tucker Kraft,TE,21.0,143.34,False,False,False,True,False,True
1,Reid,Drake Maye,QB,30.0,296.32,True,False,False,False,False,True
1,Reid,Chris Olave,WR,41.0,194.65,False,False,True,False,False,True
1,Reid,Jalen Coker,WR,13.0,124.35,False,False,False,False,True,True
1,Reid,Javonte Williams,RB,34.0,196.9,False,True,False,False,False,True
1,Reid,Deebo Samuel,WR,190.0,102.68,False,False,False,False,False,False
1,Reid,DeVonta Smith,WR,60.86533333333333,189.84,False,False,True,False,False,True
1,Reid,Alvin Kamara,RB,2.3738000000000006,68.7,False,True,False,False,False,True
1,Reid,Makai Lemon,WR,1.7425777777777778,119.03,False,False,False,False,False,False
1,Reid,Jonah Coleman,RB,1.0199999999999996,67.3,False,False,False,False,False,False
1,Reid,Rashid Shaheed,WR,1.0,105.92,False,False,False,False,False,False
1,Reid,AD Mitchell,WR,1.0,145.99444444444444,False,False,False,False,True,True
1,Reid,Ray Davis,RB,1.0,61.54,False,False,False,False,False,False
1,Reid,Keon Coleman,WR,1.0,60.6,False,False,False,False,False,False
1,Ryan J,Brock Purdy,QB,15.0,256.32,False,False,False,False,False,False
1,Ryan J,Michael Wilson,WR,11.0,132.1,False,False,False,False,True,True
1,Ryan J,Oronde Gadsden,TE,11.0,72.1,False,False,False,False,False,False
1,Ryan J,DeVon Achane,RB,26.0,242.2,False,True,False,False,False,True
1,Ryan J,Ashton Jeanty,RB,6.0,199.4,False,True,False,False,False,True
1,Ryan J,Ladd McConkey,WR,67.0,165.85,False,False,True,False,False,True
1,Ryan J,Tee Higgins,WR,78.180660304354,181.9,False,False,True,False,False,True
1,Ryan J,Josh Jacobs,RB,138.75,189.35,False,False,False,False,True,True
1,Ryan J,Matthew Golden,WR,27.938666666666666,127.74,False,False,False,False,True,True
1,Ryan J,George Kittle,TE,7.130000000000001,130.46,False,False,False,True,False,True
1,Ryan J,Isaiah Likely,TE,1.0,115.25,False,False,False,False,False,False
1,Ryan J,Dalton Schultz,TE,1.0,109.4,False,False,False,False,False,False
1,Ryan J,Christian Kirk,WR,1.0,37.77,False,False,False,False,False,False
1,Ryan J,Cole Kmet,TE,1.0,53.05,False,False,False,False,False,False
1,Ryan J,Jared Goff,QB,1.0,261.71,True,False,False,False,False,True
1,Sam,Garrett Wilson,WR,31.0,163.37,False,False,True,False,False,True
1,Sam,Kenneth Walker III,RB,36.0,217.65,False,True,False,False,False,True
1,Sam,Quentin Johnston,WR,11.0,125.4,False,False,False,False,False,False
1,Sam,David Montgomery,RB,45.0,176.5,False,False,False,False,True,True
1,Sam,Cam Skattebo,RB,28.0,186.4,False,True,False,False,False,True
1,Sam,Jaxson Dart,QB,11.0,273.12,True,False,False,False,False,True
1,Sam,Jonathon Brooks,RB,57.684374999999996,148.6,False,False,False,False,True,True
1,Sam,Jaylen Waddle,WR,63.126075,177.9,False,False,True,False,False,True
1,Sam,Kenny Gainwell,RB,62.8993375,136.45,False,False,False,False,False,False
1,Sam,Davante Adams,WR,34.29,161.35,False,False,False,False,True,True
1,Sam,Kimani Vidal,RB,1.0,54.72,False,False,False,False,False,False
1,Sam,Justin Herbert,QB,1.0,263.56,False,False,False,False,False,False
1,Sam,Baker Mayfield,QB,1.0,243.4,False,False,False,False,False,False
1,Sam,Brenton Strange,TE,1.0,112.65,False,False,False,True,False,True
1,Sam,Geno Smith,QB,1.0,177.54,False,False,False,False,False,False
1,Shane,MarShawn Lloyd,RB,11.0,75.39,False,False,False,False,False,False
1,Shane,Rome Odunze,WR,16.0,159.72,False,False,False,False,False,False
1,Shane,Caleb Williams,QB,16.0,271.0,False,False,False,False,False,False
1,Shane,Blake Corum,RB,11.0,134.1,False,False,False,False,False,False
1,Shane,Kyle Monangai,RB,11.0,144.3,False,False,False,False,False,False
1,Shane,Christian Watson,WR,11.0,161.94,False,False,False,False,False,False
1,Shane,Rachaad White,RB,63.02788888888889,127.05,False,False,False,False,False,False
1,Shane,Bill Croskey-Merritt,RB,46.29,557.4333333333333,False,False,False,False,False,False
1,Shane,Rashee Rice,WR,44.89,197.11,False,False,False,False,False,False
1,Shane,Nick Chubb,RB,35.0,451.25555555555553,False,False,False,False,False,False
1,Shane,Jalen Hurts,QB,27.781716666666668,297.46,False,False,False,False,False,False
1,Shane,Aaron Jones Sr,RB,21.556570000000004,131.55,False,False,False,False,False,False
1,Shane,DK Metcalf,WR,14.833477777777777,148.53,False,False,False,False,False,False
1,Shane,Tyler Allgeier,RB,13.841520000000001,86.65,False,False,False,False,False,False
1,Shane,Ricky Pearsall,WR,10.840823055555557,199.08333333333334,False,False,False,False,False,False
1,Travis,Jayden Reed,WR,26.0,143.93,False,False,False,False,True,True
1,Travis,Malik Nabers,WR,16.0,183.51,False,False,True,False,False,True
1,Travis,Woody Marks,RB,11.0,104.75,False,False,False,False,False,False
1,Travis,Rhamondre Stevenson,RB,42.0,157.55,False,True,False,False,False,True
