seed,team,keeper_state_status,n_players,n_qb_rostered,legal_roster,has_duplicate_player,lineup_is_legal,lineup_failure_reason,starting_lineup_points,bench_option_value,total_roster_utility,raw_all_rostered_points,budget_remaining_unspent_cash
17,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,2595.59,146.85,2742.44,3480.21,26.75
17,CJ,PARTIALLY_CONFIRMED,15,2,True,False,True,,1684.62,45.85,1730.47,2089.06,0.0
17,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1659.87,136.02,1795.89,2378.55,22.23
17,Evan,PARTIALLY_CONFIRMED,15,1,True,False,True,,1934.38,74.71,2009.09,2452.91,0.0
17,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,1465.91,95.63,1561.54,2155.64,0.0
17,Jason,PARTIALLY_CONFIRMED,15,2,True,False,True,,1900.74,89.63,1990.37,2570.13,0.0
17,Reid,PARTIALLY_CONFIRMED,15,3,True,False,True,,1626.16,111.46,1737.62,2596.56,11.85
17,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1508.76,77.47,1586.23,2019.54,0.0
17,Sam,CONFIRMED,15,1,True,False,False,MISSING_TE,0.0,0.0,0.0,2805.77,16.75
17,Shane,PARTIALLY_CONFIRMED,15,2,True,False,True,,1495.25,92.73,1587.98,2136.53,0.0
17,Travis,PARTIALLY_CONFIRMED,15,2,True,False,True,,1484.89,97.32,1582.21,2093.77,0.06
18,Brad,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,1787.96,0.0
18,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,2205.51,87.27,2292.78,2718.2,3.07
18,CJ,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,2429.34,20.8
18,Coby,PARTIALLY_CONFIRMED,15,2,True,False,True,,1715.37,105.39,1820.76,2472.2,0.0
18,Evan,PARTIALLY_CONFIRMED,15,1,True,False,True,,2207.25,138.49,2345.74,3049.03,27.44
18,James,PARTIALLY_CONFIRMED,15,1,True,False,True,,1628.67,120.23,1748.9,2327.04,0.0
18,Jason,PARTIALLY_CONFIRMED,15,2,True,False,True,,2015.39,144.51,2159.9,2846.73,12.2
18,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1569.57,70.52,1640.09,2109.58,0.0
18,Ryan J,PARTIALLY_CONFIRMED,15,4,True,False,True,,1468.21,51.0,1519.21,2391.01,0.0
18,Sam,CONFIRMED,15,3,True,False,True,,1537.84,62.37,1600.21,2223.15,0.0
18,Shane,PARTIALLY_CONFIRMED,15,2,True,False,False,MISSING_TE,0.0,0.0,0.0,2208.63,3.32
18,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1565.36,118.91,1684.27,2242.16,3.59
19,Brad,PARTIALLY_CONFIRMED,15,1,True,False,True,,1483.82,66.97,1550.79,1925.35,0.0
19,Brandon,PARTIALLY_CONFIRMED,15,2,True,False,True,,1843.66,87.53,1931.19,2474.53,0.0
19,CJ,PARTIALLY_CONFIRMED,15,3,True,False,True,,1672.45,51.34,1723.79,1966.73,0.0
19,Coby,PARTIALLY_CONFIRMED,15,3,True,False,True,,1676.08,67.62,1743.7,2666.39,0.0
19,Evan,PARTIALLY_CONFIRMED,15,1,True,False,False,MISSING_TE,0.0,0.0,0.0,2577.94,10.07
19,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,1638.18,135.94,1774.12,2528.96,0.0
19,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,1960.94,123.74,2084.68,2747.37,31.61
