match,seat,genome,player,position,price,projected_points,is_starting
31,Reid,gen15_elite0,Garrett Wilson,WR,15.167186956521737,163.37,True
31,Reid,gen15_elite0,Jalen Hurts,QB,17.195574999999995,297.46,False
31,Reid,gen15_elite0,TJ Hockenson,TE,14.303588096635837,103.35,True
31,Reid,gen15_elite0,CJ Stroud,QB,17.098884999999996,245.14,False
31,Reid,gen15_elite0,Josh Allen,QB,14.260000000000002,328.82,True
31,Reid,gen15_elite0,Drake Maye,QB,13.542767391304348,296.32,False
31,Reid,gen15_elite0,Stefon Diggs,WR,127.55,130.42,False
32,Ryan J,gen15_elite0,Ashton Jeanty,RB,11.0,199.4,False
32,Ryan J,gen15_elite0,Michael Wilson,WR,11.0,132.1,False
32,Ryan J,gen15_elite0,Jalen Hurts,QB,39.734497391304345,297.46,False
32,Ryan J,gen15_elite0,Tony Pollard,RB,25.47188434782609,143.2,False
32,Ryan J,gen15_elite0,Josh Allen,QB,32.0,328.82,False
32,Ryan J,gen15_elite0,Jaylen Waddle,WR,21.76465170361199,177.9,False
32,Ryan J,gen15_elite0,Jordan Mason,RB,18.351798260869565,137.2,False
32,Ryan J,gen15_elite0,Deebo Samuel,WR,18.313337652583666,102.68,False
32,Ryan J,gen15_elite0,CJ Stroud,QB,17.183349999999997,245.14,False
32,Ryan J,gen15_elite0,Chris Godwin Jr,WR,14.960582565217393,134.26,False
32,Ryan J,gen15_elite0,Mike Evans,WR,14.178265875298408,164.95,False
32,Ryan J,gen15_elite0,Garrett Wilson,WR,11.0,163.37,False
32,Ryan J,gen15_elite0,Drake Maye,QB,15.72185,296.32,False
32,Ryan J,gen15_elite0,Jameson Williams,WR,10.890333632170318,156.45,False
32,Ryan J,gen15_elite0,Lamar Jackson,QB,138.45,289.92,False
33,Sam,gen15_elite0,David Montgomery,RB,45.0,176.5,True
33,Sam,gen15_elite0,Tyjae Spears,RB,13.0,113.45,False
33,Sam,gen15_elite0,Davante Adams,WR,23.937880000000003,161.35,True
33,Sam,gen15_elite0,Jalen Hurts,QB,27.868160000000003,297.46,False
33,Sam,gen15_elite0,Josh Allen,QB,22.679760869565218,328.82,True
33,Sam,gen15_elite0,Travis Etienne,RB,19.45217391304348,190.4,True
33,Sam,gen15_elite0,Jameson Williams,WR,18.21,156.45,True
33,Sam,gen15_elite0,Amon-Ra St Brown,WR,15.624278260869566,247.22,True
33,Sam,gen15_elite0,TJ Hockenson,TE,15.255139130434781,103.35,True
33,Sam,gen15_elite0,Nick Chubb,RB,14.41825162291789,372.09599999999995,True
33,Sam,gen15_elite0,Lamar Jackson,QB,21.74586347826087,289.92,False
33,Sam,gen15_elite0,Michael Pittman Jr,WR,11.461215907696584,137.83,False
33,Sam,gen15_elite0,Courtland Sutton,WR,9.215108695652173,137.35,False
33,Sam,gen15_elite0,CJ Stroud,QB,10.416399999999998,245.14,False
33,Sam,gen15_elite0,Kenneth Walker,RB,131.7,217.65,True
34,Shane,gen15_elite0,Rome Odunze,WR,16.0,159.72,False
34,Shane,gen15_elite0,Kyle Monangai,RB,11.0,144.3,False
34,Shane,gen15_elite0,Blake Corum,RB,11.0,134.1,False
34,Shane,gen15_elite0,Christian Watson,WR,11.0,161.94,False
34,Shane,gen15_elite0,CJ Stroud,QB,25.677042352144195,245.14,False
34,Shane,gen15_elite0,Drake Maye,QB,25.208835130434785,296.32,False
34,Shane,gen15_elite0,Rashee Rice,WR,22.249619130434784,197.11,False
34,Shane,gen15_elite0,Jalen Hurts,QB,22.0420717826087,297.46,False
34,Shane,gen15_elite0,Jameson Williams,WR,18.409365217391304,156.45,False
34,Shane,gen15_elite0,Josh Allen,QB,17.53956956521739,328.82,False
34,Shane,gen15_elite0,Davante Adams,WR,14.793883478260872,161.35,False
34,Shane,gen15_elite0,Garrett Wilson,WR,14.719923880216726,163.37,False
34,Shane,gen15_elite0,Stefon Diggs,WR,13.564970450880287,130.42,False
34,Shane,gen15_elite0,Courtland Sutton,WR,12.527910957601772,137.35,False
34,Shane,gen15_elite0,Lamar Jackson,QB,164.27,289.92,False
35,Travis,gen15_elite0,Malik Nabers,WR,16.0,183.51,False
35,Travis,gen15_elite0,Woody Marks,RB,11.0,104.75,False
35,Travis,gen15_elite0,Jaylen Waddle,WR,25.78,177.9,False
35,Travis,gen15_elite0,Jordan Mason,RB,25.90824608695652,137.2,False
35,Travis,gen15_elite0,Tee Higgins,WR,24.904559255297603,181.9,False
35,Travis,gen15_elite0,Rachaad White,RB,21.78,127.05,False
35,Travis,gen15_elite0,Bill Croskey-Merritt,RB,20.908553021844842,459.64799999999997,False
35,Travis,gen15_elite0,Jalen Hurts,QB,19.234290217391305,297.46,False
35,Travis,gen15_elite0,Amon-Ra St Brown,WR,16.112891304347826,247.22,False
35,Travis,gen15_elite0,Davante Adams,WR,16.0,161.35,False
35,Travis,gen15_elite0,Drake Maye,QB,17.662016,296.32,False
35,Travis,gen15_elite0,Josh Allen,QB,12.886265217391305,328.82,False
35,Travis,gen15_elite0,JK Dobbins,RB,12.412162757748034,134.15,False
35,Travis,gen15_elite0,Lamar Jackson,QB,11.761517391304347,289.92,False
35,Travis,gen15_elite0,Nick Chubb,RB,147.66,372.09599999999995,False
36,Brad,gen15_elite0,Jaxon Smith-Njigba,WR,31.0,253.78,True
36,Brad,gen15_elite0,Tyler Warren,TE,11.0,162.68,True
36,Brad,gen15_elite0,Alec Pierce,WR,11.0,154.64,True
